,Наименование полигона,Краткое наименование,Полигон,Номерной знак ТС,Наименование структурного подразделения,Тип закрепления,дата путевого листа,"Данные путевых листов, пробег",Дата сигнала телематики,"Данные телематики, пробег",Штрафы,манера вождения
1053,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,7900ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-11,50.2,2024-04-10,50.2,,5.9
1054,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,7900ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-18,2.2,2024-04-11,50.2,,5.9
1055,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,7900ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-25,1.0,2024-04-15,39.45,,5.9
1056,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,7900ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-30,9.4,2024-04-18,2.2,,5.9
1057,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,7900ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-25,1.0,,5.9
1058,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,7900ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-28,8.64,,5.9
1059,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,7900ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-30,9.4,,5.9
1061,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9443ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-04,1.53,,,,5.8
1062,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9443ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-10,20.2,,,2.0,5.8
1063,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9443ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-11,38.54,,,2.0,5.8
1064,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9443ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-18,19.31,,,2.0,5.8
1065,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9443ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-25,1.0,,,,5.8
1067,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9440ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-11,15.0,2024-04-01,76.0,1.0,5.4
1068,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9440ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-15,18.0,2024-04-03,29.0,1.0,5.4
1069,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9440ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-19,11.0,2024-04-08,30.0,,5.4
1070,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9440ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-22,31.0,2024-04-10,4.0,1.0,5.4
1071,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9440ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-24,10.0,2024-04-11,15.0,,5.4
1072,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9440ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-25,69.0,2024-04-15,18.0,,5.4
1073,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9440ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-26,30.0,2024-04-16,25.0,,5.4
1074,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9440ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-29,34.0,2024-04-17,17.0,,5.4
1075,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9440ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-30,1.0,2024-04-18,137.0,3.0,5.4
1076,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9440ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-19,11.0,1.0,5.4
1077,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9440ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-22,31.0,,5.4
1078,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9440ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-24,10.0,1.0,5.4
1079,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9440ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-25,69.0,2.0,5.4
1080,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9440ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-26,30.48,1.0,5.4
1081,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9440ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-29,34.0,,5.4
1082,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9440ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-30,1.0,,5.4
1083,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,О700ТВ197,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,0.0,,0.0,0.0,0.0
1085,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,6046НА77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-11,25.0,,,2.0,5.3
1086,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,6046НА77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-15,18.0,,,1.0,5.3
1087,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,6046НА77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-19,26.43,,,,5.3
1088,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,6046НА77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-22,31.0,,,1.0,5.3
1089,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,6046НА77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-24,10.0,,,,5.3
1090,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,6046НА77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-25,19.0,,,2.0,5.3
1091,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,1004ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,Прочие,,0.0,,0.0,0.0,0.0
1093,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,1003ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-19,11.0,2024-04-01,102.14,,6.0
1094,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,1003ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-03,29.0,,6.0
1095,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,1003ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-08,30.0,1.0,6.0
1096,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,1003ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-10,4.0,,6.0
1097,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,1003ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-11,15.0,,6.0
1098,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,1003ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-15,18.0,1.0,6.0
1099,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,1003ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-16,25.0,,6.0
1100,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,1003ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-17,17.37,,6.0
1101,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,1003ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-18,137.0,,6.0
1102,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,1003ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-19,11.0,,6.0
1103,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,1003ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-22,33.15,1.0,6.0
1104,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,1003ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-24,10.0,,6.0
1105,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,1003ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-25,98.23,,6.0
1106,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,1003ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-26,30.48,,6.0
1108,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,6343НВ77,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-01,25.0,2024-04-01,25.0,,6.0
1109,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,6343НВ77,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-05,18.0,2024-04-05,18.0,,6.0
1110,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,6343НВ77,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-19,26.0,2024-04-19,26.0,1.0,6.0
1111,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,6343НВ77,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-22,31.0,2024-04-22,31.0,,6.0
1112,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,6343НВ77,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-24,10.0,2024-04-24,10.0,,6.0
1113,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,6343НВ77,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-25,19.0,2024-04-25,19.0,,6.0
1114,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,6343НВ77,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,,,2024-04-28,0.34,,6.0
1116,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0030НА77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-01,21.0,2024-04-01,31.0,1.0,5.9
1117,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0030НА77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-02,18.0,2024-04-02,18.0,2.0,5.9
1118,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0030НА77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-05,2.0,2024-04-05,12.14,,5.9
1119,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0030НА77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-07,20.0,2024-04-07,20.0,1.0,5.9
1120,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0030НА77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-08,4.0,2024-04-08,10.0,,5.9
1121,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0030НА77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-09,15.0,2024-04-09,15.0,,5.9
1122,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0030НА77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-10,42.0,2024-04-10,42.0,2.0,5.9
1123,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0030НА77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-12,41.0,2024-04-12,41.0,2.0,5.9
1124,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0030НА77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-13,10.0,2024-04-13,10.0,,5.9
1125,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0030НА77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-14,6.0,2024-04-14,6.0,,5.9
1126,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0030НА77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-17,46.0,2024-04-17,46.0,1.0,5.9
1127,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0030НА77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-19,1.0,2024-04-19,1.0,,5.9
1128,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0030НА77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-21,13.0,2024-04-21,25.0,2.0,5.9
1129,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0030НА77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-25,17.0,2024-04-25,17.0,1.0,5.9
1130,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0030НА77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-28,6.0,2024-04-28,6.0,,5.9
1132,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9401ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-11,49.0,2024-04-01,222.0,1.0,5.9
1133,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9401ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-12,6.0,2024-04-11,49.0,,5.9
1134,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9401ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-15,1.0,2024-04-12,6.0,,5.9
1135,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9401ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-18,28.0,2024-04-15,5.0,1.0,5.9
1136,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9401ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-23,54.0,2024-04-18,28.0,,5.9
1137,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9401ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-24,14.0,2024-04-19,258.0,,5.9
1138,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9401ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-25,22.0,2024-04-20,7.01,1.0,5.9
1139,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9401ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-27,26.0,2024-04-23,54.0,,5.9
1140,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9401ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-28,8.0,2024-04-24,14.0,,5.9
1141,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9401ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-25,22.0,1.0,5.9
1142,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9401ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-26,455.0,1.0,5.9
1143,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9401ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-27,26.0,,5.9
1144,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9401ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-28,8.0,1.0,5.9
1145,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9401ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-30,46.0,,5.9
1147,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0006АЕ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-01,10.32,2024-04-01,10.32,,5.9
1148,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0006АЕ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-08,17.0,2024-04-08,17.0,1.0,5.9
1149,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0006АЕ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-11,32.0,2024-04-11,32.0,,5.9
1150,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0006АЕ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-12,6.3,2024-04-12,6.3,1.0,5.9
1151,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0006АЕ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-13,3.0,2024-04-13,3.0,,5.9
1152,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0006АЕ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-16,31.0,2024-04-16,31.0,,5.9
1153,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0006АЕ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-21,66.0,2024-04-17,15.0,,5.9
1154,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0006АЕ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-24,77.0,2024-04-18,55.0,1.0,5.9
1155,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0006АЕ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-25,82.0,2024-04-21,66.0,1.0,5.9
1156,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0006АЕ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-26,131.0,2024-04-24,77.0,1.0,5.9
1157,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0006АЕ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-27,5.38,2024-04-25,82.0,,5.9
1158,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0006АЕ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-26,131.0,,5.9
1159,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0006АЕ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-27,0.0,1.0,5.9
1161,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0379НН77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-02,5.0,2024-04-02,5.0,,3.9
1162,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0379НН77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-16,3.0,2024-04-10,68.1,2.0,3.9
1163,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0379НН77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-29,95.0,2024-04-16,3.0,,3.9
1164,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0379НН77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-19,54.11,2.0,3.9
1165,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0379НН77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-25,48.0,,3.9
1166,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0379НН77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-29,95.0,3.0,3.9
1167,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0379НН77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-30,79.0,4.0,3.9
1169,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0370НН77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,Прочие,2024-04-26,1.44,,,,0.0
1170,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0370НН77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,Прочие,2024-04-27,0.56,,,,0.0
1171,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,Х500ВН57,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,0.0,,0.0,0.0,0.0
1173,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0691ВО77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-05,55.0,2024-04-05,55.0,,5.8
1174,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0691ВО77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-08,124.0,2024-04-08,124.0,,5.8
1175,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0691ВО77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-09,213.0,2024-04-09,213.0,,5.8
1176,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0691ВО77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-10,47.0,2024-04-10,47.0,1.0,5.8
1177,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0691ВО77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-12,9.0,2024-04-12,9.0,,5.8
1178,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0691ВО77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-18,37.0,2024-04-16,65.0,,5.8
1179,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0691ВО77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-17,208.0,1.0,5.8
1180,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0691ВО77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-18,86.0,,5.8
1181,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0691ВО77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-25,95.63,,5.8
1182,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0691ВО77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-26,67.0,,5.8
1184,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,7600НХ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-04,97.0,,,3.0,0.0
1185,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,7600НХ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-10,50.2,,,2.0,0.0
1186,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,7600НХ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-11,50.2,,,,0.0
1187,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,7600НХ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-18,34.2,,,2.0,0.0
1188,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,7600НХ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-25,1.4,,,,0.0
1190,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4075НТ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-01,76.0,2024-04-01,76.0,2.0,3.9
1191,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4075НТ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-03,29.0,2024-04-03,29.0,1.0,3.9
1192,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4075НТ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-08,30.0,2024-04-08,30.0,2.0,3.9
1193,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4075НТ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-10,4.0,2024-04-10,4.0,1.0,3.9
1194,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4075НТ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-11,15.0,2024-04-11,15.0,,3.9
1195,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4075НТ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-15,18.97,2024-04-15,18.97,2.0,3.9
1196,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4075НТ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-16,25.0,2024-04-16,25.0,2.0,3.9
1197,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4075НТ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-19,11.0,2024-04-17,17.0,,3.9
1198,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4075НТ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-30,2.53,2024-04-18,137.0,2.0,3.9
1199,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4075НТ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-19,11.0,1.0,3.9
